Date,GEO,Sex,Characteristics,Estimates,UOM,VALUE
2017/2018,Prince Edward Island,Females,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,46.2
2017/2018,Prince Edward Island,Females,"Visible minority, visible minority or Indigenous",Number of persons,Number,1400
2017/2018,Prince Edward Island,Females,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,33.5
2017/2018,Prince Edward Island,Females,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,19.3
2017/2018,Prince Edward Island,Females,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,51.5
2017/2018,Prince Edward Island,Females,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,600
2017/2018,Prince Edward Island,Females,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,59.7
2017/2018,Prince Edward Island,Females,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,32.2
2017/2018,Prince Edward Island,Females,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,82.2
2017/2018,Prince Edward Island,Females,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,23800
2017/2018,Prince Edward Island,Females,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,42.7
2017/2018,Prince Edward Island,Females,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,39
2017/2018,Prince Edward Island,Females,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,46.5
2017/2018,Prince Edward Island,Females,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Prince Edward Island,Females,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Prince Edward Island,Females,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Prince Edward Island,Females,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Nova Scotia,Both sexes,"Total, selected characteristics",Number of persons,Number,355900
2017/2018,Nova Scotia,Both sexes,"Total, selected characteristics",Percentage of persons,Percent,46.4
2017/2018,Nova Scotia,Both sexes,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,44.7
2017/2018,Nova Scotia,Both sexes,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,48.1
2017/2018,Nova Scotia,Both sexes,"High school or less, household education",Number of persons,Number,86200
2017/2018,Nova Scotia,Both sexes,"High school or less, household education",Percentage of persons,Percent,57
2017/2018,Nova Scotia,Both sexes,"High school or less, household education","Low 95% confidence interval, percentage",Percent,53.2
2017/2018,Nova Scotia,Both sexes,"High school or less, household education","High 95% confidence interval, percentage",Percent,60.7
2017/2018,Nova Scotia,Both sexes,"At least post-secondary education, household education",Number of persons,Number,255900
2017/2018,Nova Scotia,Both sexes,"At least post-secondary education, household education",Percentage of persons,Percent,43.2
2017/2018,Nova Scotia,Both sexes,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,41.2
2017/2018,Nova Scotia,Both sexes,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,45.3
2017/2018,Nova Scotia,Both sexes,"Lowest income, household income",Number of persons,Number,125500
2017/2018,Nova Scotia,Both sexes,"Lowest income, household income",Percentage of persons,Percent,49.1
2017/2018,Nova Scotia,Both sexes,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,46
2017/2018,Nova Scotia,Both sexes,"Lowest income, household income","High 95% confidence interval, percentage",Percent,52.3
2017/2018,Nova Scotia,Both sexes,"Middle income, household income",Number of persons,Number,120700
2017/2018,Nova Scotia,Both sexes,"Middle income, household income",Percentage of persons,Percent,47.2
2017/2018,Nova Scotia,Both sexes,"Middle income, household income","Low 95% confidence interval, percentage",Percent,43.9
2017/2018,Nova Scotia,Both sexes,"Middle income, household income","High 95% confidence interval, percentage",Percent,50.5
2017/2018,Nova Scotia,Both sexes,"Highest income, household income",Number of persons,Number,109600
2017/2018,Nova Scotia,Both sexes,"Highest income, household income",Percentage of persons,Percent,42.9
2017/2018,Nova Scotia,Both sexes,"Highest income, household income","Low 95% confidence interval, percentage",Percent,39.5
2017/2018,Nova Scotia,Both sexes,"Highest income, household income","High 95% confidence interval, percentage",Percent,46.3
2017/2018,Nova Scotia,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,24400
2017/2018,Nova Scotia,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,37.6
2017/2018,Nova Scotia,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,30.4
2017/2018,Nova Scotia,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,45.4
2017/2018,Nova Scotia,Both sexes,"Non-immigrants, immigrant status",Number of persons,Number,331500
2017/2018,Nova Scotia,Both sexes,"Non-immigrants, immigrant status",Percentage of persons,Percent,47.2
2017/2018,Nova Scotia,Both sexes,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,45.4
2017/2018,Nova Scotia,Both sexes,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,49
2017/2018,Nova Scotia,Both sexes,"Visible minority, visible minority or Indigenous",Number of persons,Number,17000
2017/2018,Nova Scotia,Both sexes,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,32.3
2017/2018,Nova Scotia,Both sexes,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,25.1
2017/2018,Nova Scotia,Both sexes,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,40.3
2017/2018,Nova Scotia,Both sexes,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,19900
2017/2018,Nova Scotia,Both sexes,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,51.8
2017/2018,Nova Scotia,Both sexes,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,43.1
2017/2018,Nova Scotia,Both sexes,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,60.4
2017/2018,Nova Scotia,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,314800
2017/2018,Nova Scotia,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,47.4
2017/2018,Nova Scotia,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,45.6
2017/2018,Nova Scotia,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,49.2
2017/2018,Nova Scotia,Both sexes,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Nova Scotia,Both sexes,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Nova Scotia,Both sexes,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Nova Scotia,Both sexes,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Nova Scotia,Males,"Total, selected characteristics",Number of persons,Number,188300
2017/2018,Nova Scotia,Males,"Total, selected characteristics",Percentage of persons,Percent,50.8
2017/2018,Nova Scotia,Males,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,47.9
2017/2018,Nova Scotia,Males,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,53.7
2017/2018,Nova Scotia,Males,"High school or less, household education",Number of persons,Number,41500
2017/2018,Nova Scotia,Males,"High school or less, household education",Percentage of persons,Percent,60.3
2017/2018,Nova Scotia,Males,"High school or less, household education","Low 95% confidence interval, percentage",Percent,54.5
2017/2018,Nova Scotia,Males,"High school or less, household education","High 95% confidence interval, percentage",Percent,65.8
2017/2018,Nova Scotia,Males,"At least post-secondary education, household education",Number of persons,Number,139200
2017/2018,Nova Scotia,Males,"At least post-secondary education, household education",Percentage of persons,Percent,48.1
2017/2018,Nova Scotia,Males,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,44.7
2017/2018,Nova Scotia,Males,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,51.5
2017/2018,Nova Scotia,Males,"Lowest income, household income",Number of persons,Number,61300
2017/2018,Nova Scotia,Males,"Lowest income, household income",Percentage of persons,Percent,51.9
2017/2018,Nova Scotia,Males,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,46.7
2017/2018,Nova Scotia,Males,"Lowest income, household income","High 95% confidence interval, percentage",Percent,57
2017/2018,Nova Scotia,Males,"Middle income, household income",Number of persons,Number,60700
2017/2018,Nova Scotia,Males,"Middle income, household income",Percentage of persons,Percent,49.6
2017/2018,Nova Scotia,Males,"Middle income, household income","Low 95% confidence interval, percentage",Percent,44.8
2017/2018,Nova Scotia,Males,"Middle income, household income","High 95% confidence interval, percentage",Percent,54.3
2017/2018,Nova Scotia,Males,"Highest income, household income",Number of persons,Number,66400
2017/2018,Nova Scotia,Males,"Highest income, household income",Percentage of persons,Percent,51.1
2017/2018,Nova Scotia,Males,"Highest income, household income","Low 95% confidence interval, percentage",Percent,45.5
2017/2018,Nova Scotia,Males,"Highest income, household income","High 95% confidence interval, percentage",Percent,56.6
2017/2018,Nova Scotia,Males,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,13400
2017/2018,Nova Scotia,Males,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,42
2017/2018,Nova Scotia,Males,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,30.5
2017/2018,Nova Scotia,Males,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,54.4
2017/2018,Nova Scotia,Males,"Non-immigrants, immigrant status",Number of persons,Number,175000
2017/2018,Nova Scotia,Males,"Non-immigrants, immigrant status",Percentage of persons,Percent,51.7
2017/2018,Nova Scotia,Males,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,48.9
2017/2018,Nova Scotia,Males,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,54.5
2017/2018,Nova Scotia,Males,"Visible minority, visible minority or Indigenous",Number of persons,Number,9100
2017/2018,Nova Scotia,Males,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,35.6
2017/2018,Nova Scotia,Males,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,23.7
2017/2018,Nova Scotia,Males,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,49.6
2017/2018,Nova Scotia,Males,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,10200
2017/2018,Nova Scotia,Males,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,57.5
2017/2018,Nova Scotia,Males,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,44
2017/2018,Nova Scotia,Males,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,70
2017/2018,Nova Scotia,Males,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,167400
2017/2018,Nova Scotia,Males,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,52.2
2017/2018,Nova Scotia,Males,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,49.2
2017/2018,Nova Scotia,Males,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,55.2
2017/2018,Nova Scotia,Males,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Nova Scotia,Males,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Nova Scotia,Males,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Nova Scotia,Males,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Nova Scotia,Females,"Total, selected characteristics",Number of persons,Number,167600
2017/2018,Nova Scotia,Females,"Total, selected characteristics",Percentage of persons,Percent,42.2
2017/2018,Nova Scotia,Females,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,39.9
2017/2018,Nova Scotia,Females,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,44.6
2017/2018,Nova Scotia,Females,"High school or less, household education",Number of persons,Number,44700
2017/2018,Nova Scotia,Females,"High school or less, household education",Percentage of persons,Percent,54.3
2017/2018,Nova Scotia,Females,"High school or less, household education","Low 95% confidence interval, percentage",Percent,48.7
2017/2018,Nova Scotia,Females,"High school or less, household education","High 95% confidence interval, percentage",Percent,59.7
2017/2018,Nova Scotia,Females,"At least post-secondary education, household education",Number of persons,Number,116800
2017/2018,Nova Scotia,Females,"At least post-secondary education, household education",Percentage of persons,Percent,38.5
2017/2018,Nova Scotia,Females,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,35.8
2017/2018,Nova Scotia,Females,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,41.3
2017/2018,Nova Scotia,Females,"Lowest income, household income",Number of persons,Number,64200
2017/2018,Nova Scotia,Females,"Lowest income, household income",Percentage of persons,Percent,46.8
2017/2018,Nova Scotia,Females,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,42.7
2017/2018,Nova Scotia,Females,"Lowest income, household income","High 95% confidence interval, percentage",Percent,50.9
2017/2018,Nova Scotia,Females,"Middle income, household income",Number of persons,Number,60100
2017/2018,Nova Scotia,Females,"Middle income, household income",Percentage of persons,Percent,45
2017/2018,Nova Scotia,Females,"Middle income, household income","Low 95% confidence interval, percentage",Percent,40.7
2017/2018,Nova Scotia,Females,"Middle income, household income","High 95% confidence interval, percentage",Percent,49.3
2017/2018,Nova Scotia,Females,"Highest income, household income",Number of persons,Number,43300
2017/2018,Nova Scotia,Females,"Highest income, household income",Percentage of persons,Percent,34.4
2017/2018,Nova Scotia,Females,"Highest income, household income","Low 95% confidence interval, percentage",Percent,30.4
2017/2018,Nova Scotia,Females,"Highest income, household income","High 95% confidence interval, percentage",Percent,38.6
2017/2018,Nova Scotia,Females,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,11000
2017/2018,Nova Scotia,Females,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,33.4
2017/2018,Nova Scotia,Females,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,26
2017/2018,Nova Scotia,Females,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,41.7
2017/2018,Nova Scotia,Females,"Non-immigrants, immigrant status",Number of persons,Number,156500
2017/2018,Nova Scotia,Females,"Non-immigrants, immigrant status",Percentage of persons,Percent,43
2017/2018,Nova Scotia,Females,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,40.6
2017/2018,Nova Scotia,Females,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,45.6
2017/2018,Nova Scotia,Females,"Visible minority, visible minority or Indigenous",Number of persons,Number,7900
2017/2018,Nova Scotia,Females,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,29.1
2017/2018,Nova Scotia,Females,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,20.5
2017/2018,Nova Scotia,Females,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,39.6
2017/2018,Nova Scotia,Females,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,9700
2017/2018,Nova Scotia,Females,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,47
2017/2018,Nova Scotia,Females,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,35.9
2017/2018,Nova Scotia,Females,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,58.3
2017/2018,Nova Scotia,Females,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,147300
2017/2018,Nova Scotia,Females,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,43
2017/2018,Nova Scotia,Females,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,40.5
2017/2018,Nova Scotia,Females,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,45.4
2017/2018,Nova Scotia,Females,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Nova Scotia,Females,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Nova Scotia,Females,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Nova Scotia,Females,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,New Brunswick,Both sexes,"Total, selected characteristics",Number of persons,Number,292900
2017/2018,New Brunswick,Both sexes,"Total, selected characteristics",Percentage of persons,Percent,48.6
2017/2018,New Brunswick,Both sexes,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,46.4
2017/2018,New Brunswick,Both sexes,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,50.8
2017/2018,New Brunswick,Both sexes,"High school or less, household education",Number of persons,Number,85900
2017/2018,New Brunswick,Both sexes,"High school or less, household education",Percentage of persons,Percent,58.6
2017/2018,New Brunswick,Both sexes,"High school or less, household education","Low 95% confidence interval, percentage",Percent,54.6
2017/2018,New Brunswick,Both sexes,"High school or less, household education","High 95% confidence interval, percentage",Percent,62.6
2017/2018,New Brunswick,Both sexes,"At least post-secondary education, household education",Number of persons,Number,194700
2017/2018,New Brunswick,Both sexes,"At least post-secondary education, household education",Percentage of persons,Percent,44.2
2017/2018,New Brunswick,Both sexes,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,41.7
2017/2018,New Brunswick,Both sexes,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,46.8
2017/2018,New Brunswick,Both sexes,"Lowest income, household income",Number of persons,Number,106000
2017/2018,New Brunswick,Both sexes,"Lowest income, household income",Percentage of persons,Percent,52.8
2017/2018,New Brunswick,Both sexes,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,49.4
2017/2018,New Brunswick,Both sexes,"Lowest income, household income","High 95% confidence interval, percentage",Percent,56.1
2017/2018,New Brunswick,Both sexes,"Middle income, household income",Number of persons,Number,93600
2017/2018,New Brunswick,Both sexes,"Middle income, household income",Percentage of persons,Percent,46.6
2017/2018,New Brunswick,Both sexes,"Middle income, household income","Low 95% confidence interval, percentage",Percent,42.8
2017/2018,New Brunswick,Both sexes,"Middle income, household income","High 95% confidence interval, percentage",Percent,50.4
2017/2018,New Brunswick,Both sexes,"Highest income, household income",Number of persons,Number,93200
2017/2018,New Brunswick,Both sexes,"Highest income, household income",Percentage of persons,Percent,46.4
2017/2018,New Brunswick,Both sexes,"Highest income, household income","Low 95% confidence interval, percentage",Percent,42.5
2017/2018,New Brunswick,Both sexes,"Highest income, household income","High 95% confidence interval, percentage",Percent,50.3
2017/2018,New Brunswick,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,10900
2017/2018,New Brunswick,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,33.8
2017/2018,New Brunswick,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,25.6
2017/2018,New Brunswick,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,43
2017/2018,New Brunswick,Both sexes,"Non-immigrants, immigrant status",Number of persons,Number,282000
2017/2018,New Brunswick,Both sexes,"Non-immigrants, immigrant status",Percentage of persons,Percent,49.4
2017/2018,New Brunswick,Both sexes,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,47.1
2017/2018,New Brunswick,Both sexes,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,51.7
2017/2018,New Brunswick,Both sexes,"Visible minority, visible minority or Indigenous",Number of persons,Number,5200
2017/2018,New Brunswick,Both sexes,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,25.3
2017/2018,New Brunswick,Both sexes,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,15.4
2017/2018,New Brunswick,Both sexes,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,38.7
2017/2018,New Brunswick,Both sexes,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,10100
2017/2018,New Brunswick,Both sexes,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,53.5
2017/2018,New Brunswick,Both sexes,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,40.9
2017/2018,New Brunswick,Both sexes,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,65.7
2017/2018,New Brunswick,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,273700
2017/2018,New Brunswick,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,49.2
2017/2018,New Brunswick,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,46.9
2017/2018,New Brunswick,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,51.5
2017/2018,New Brunswick,Both sexes,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,New Brunswick,Both sexes,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,New Brunswick,Both sexes,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,New Brunswick,Both sexes,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,New Brunswick,Males,"Total, selected characteristics",Number of persons,Number,146000
2017/2018,New Brunswick,Males,"Total, selected characteristics",Percentage of persons,Percent,49.7
2017/2018,New Brunswick,Males,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,46.5
2017/2018,New Brunswick,Males,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,52.9
2017/2018,New Brunswick,Males,"High school or less, household education",Number of persons,Number,40000
2017/2018,New Brunswick,Males,"High school or less, household education",Percentage of persons,Percent,58.4
2017/2018,New Brunswick,Males,"High school or less, household education","Low 95% confidence interval, percentage",Percent,51.8
2017/2018,New Brunswick,Males,"High school or less, household education","High 95% confidence interval, percentage",Percent,64.7
2017/2018,New Brunswick,Males,"At least post-secondary education, household education",Number of persons,Number,101100
2017/2018,New Brunswick,Males,"At least post-secondary education, household education",Percentage of persons,Percent,46.2
2017/2018,New Brunswick,Males,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,42.4
2017/2018,New Brunswick,Males,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,50
2017/2018,New Brunswick,Males,"Lowest income, household income",Number of persons,Number,45900
2017/2018,New Brunswick,Males,"Lowest income, household income",Percentage of persons,Percent,52.5
2017/2018,New Brunswick,Males,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,46.8
2017/2018,New Brunswick,Males,"Lowest income, household income","High 95% confidence interval, percentage",Percent,58.1
2017/2018,New Brunswick,Males,"Middle income, household income",Number of persons,Number,50500
2017/2018,New Brunswick,Males,"Middle income, household income",Percentage of persons,Percent,49.1
2017/2018,New Brunswick,Males,"Middle income, household income","Low 95% confidence interval, percentage",Percent,43.9
2017/2018,New Brunswick,Males,"Middle income, household income","High 95% confidence interval, percentage",Percent,54.2
2017/2018,New Brunswick,Males,"Highest income, household income",Number of persons,Number,49500
2017/2018,New Brunswick,Males,"Highest income, household income",Percentage of persons,Percent,47.9
2017/2018,New Brunswick,Males,"Highest income, household income","Low 95% confidence interval, percentage",Percent,42.3
2017/2018,New Brunswick,Males,"Highest income, household income","High 95% confidence interval, percentage",Percent,53.5
2017/2018,New Brunswick,Males,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,5800
2017/2018,New Brunswick,Males,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,36.6
2017/2018,New Brunswick,Males,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,26.1
2017/2018,New Brunswick,Males,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,48.6
2017/2018,New Brunswick,Males,"Non-immigrants, immigrant status",Number of persons,Number,140100
2017/2018,New Brunswick,Males,"Non-immigrants, immigrant status",Percentage of persons,Percent,50.4
2017/2018,New Brunswick,Males,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,47.1
2017/2018,New Brunswick,Males,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,53.7
2017/2018,New Brunswick,Males,"Visible minority, visible minority or Indigenous",Number of persons,Number,2500
2017/2018,New Brunswick,Males,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,27.4
2017/2018,New Brunswick,Males,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,14.3
2017/2018,New Brunswick,Males,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,46.1
2017/2018,New Brunswick,Males,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,5800
2017/2018,New Brunswick,Males,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,57.8
2017/2018,New Brunswick,Males,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,40.7
2017/2018,New Brunswick,Males,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,73.2
2017/2018,New Brunswick,Males,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,135300
2017/2018,New Brunswick,Males,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,50.1
2017/2018,New Brunswick,Males,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,46.8
2017/2018,New Brunswick,Males,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,53.4
2017/2018,New Brunswick,Males,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,New Brunswick,Males,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,New Brunswick,Males,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,New Brunswick,Males,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,New Brunswick,Females,"Total, selected characteristics",Number of persons,Number,146900
2017/2018,New Brunswick,Females,"Total, selected characteristics",Percentage of persons,Percent,47.6
2017/2018,New Brunswick,Females,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,44.5
2017/2018,New Brunswick,Females,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,50.6
2017/2018,New Brunswick,Females,"High school or less, household education",Number of persons,Number,45800
2017/2018,New Brunswick,Females,"High school or less, household education",Percentage of persons,Percent,58.9
2017/2018,New Brunswick,Females,"High school or less, household education","Low 95% confidence interval, percentage",Percent,53.7
2017/2018,New Brunswick,Females,"High school or less, household education","High 95% confidence interval, percentage",Percent,63.8
2017/2018,New Brunswick,Females,"At least post-secondary education, household education",Number of persons,Number,93600
2017/2018,New Brunswick,Females,"At least post-secondary education, household education",Percentage of persons,Percent,42.3
2017/2018,New Brunswick,Females,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,38.7
2017/2018,New Brunswick,Females,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,45.9
2017/2018,New Brunswick,Females,"Lowest income, household income",Number of persons,Number,60100
2017/2018,New Brunswick,Females,"Lowest income, household income",Percentage of persons,Percent,53
2017/2018,New Brunswick,Females,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,48.8
2017/2018,New Brunswick,Females,"Lowest income, household income","High 95% confidence interval, percentage",Percent,57.2
2017/2018,New Brunswick,Females,"Middle income, household income",Number of persons,Number,43100
2017/2018,New Brunswick,Females,"Middle income, household income",Percentage of persons,Percent,44
2017/2018,New Brunswick,Females,"Middle income, household income","Low 95% confidence interval, percentage",Percent,39
2017/2018,New Brunswick,Females,"Middle income, household income","High 95% confidence interval, percentage",Percent,49
2017/2018,New Brunswick,Females,"Highest income, household income",Number of persons,Number,43700
